ID Producto,SKU,Nombre,Descripcion,Tamano Unidad,Medida Unidad,ID Presentación,Unidades por Paquete,Unidades por Presentación,Costo por Paquete,Costo Unitario,Moneda,ID Barcode,Codigo de Barras,Precio de Venta
301,LAS-JAB-LLA-BAR-1-UND-6B14,"Jabon en Barra Las Llaves, 250 gr","Jabon en Barra Las Llaves, 250 gr",250.00,GR,,36,36,"37,00",,USD,106,75900441,98000
512,AMA-AZU-REF-1-KG-038A,"Azucar Amanecer, 1 kg","Azucar Amanecer, 1 kg",1.00,KG,323,20,20,"27,80",1.39,USD,9,7599450000102,75000
513,LAP-AZU-PAS-50-KG-8BCE,"Azucar Refinada La Pastora, 50 kg","Azucar Refinada La Pastora, 50 kg",50.00,KG,325,1,1,"175000,00",60.00,COP,12,1,185000
514,ODE-ARR-DON-CRI-900-GR-76C9,"Arroz Dona Cristina, 900 gr ","Arroz Dona Cristina, 900 gr ",900.00,GR,326,24,24,"60000,00",2500.00,COP,22,7596068000463,68000
515,GRA-ARV-AMA-RIN-500-GR-C188,"Arveja Amarilla Rincon, 500 gr","Arveja Amarilla Rincon, 500 gr",500.00,GR,327,25,25,"46000,00",1960.00,COP,25,7709668923319,49000
516,GRA-MAI-COT-RIN-500-GR-8EDC,"Maiz para Cotufa Rincon, 500 gr ","Maiz para Cotufa Rincon, 500 gr ",500.00,GR,328,25,25,"46000,00",1960.00,COP,26,7709062917198,49000
517,GRA-CAR-NEG-RIN-500-KG-A0C4,"Caraota Negra Rincon, 500 gr ","Caraota Negra Rincon, 500 gr ",500.00,KG,329,25,25,"63000,00",1960.00,COP,27,7709062917181,65000
518,GRA-GAR-RIN-500-GR-40BA,"Garbanzos Rincon, 500 gr ","Garbanzos Rincon, 500 gr ",500.00,GR,330,25,25,"68000,00",2800.00,COP,28,7709062917174,70000
519,GRA-FRI-ROJ-RIN-500-GR-AD05,"Frijol Rojo Rincon, 500 gr","Frijol Rojo Rincon, 500 gr",500.00,GR,331,25,25,"84000,00",3520.00,COP,29,7709668923357,87000
520,GRA-LEN-RIN-500-GR-CDE7,"Lenteja Rincon, 500 gr","Lenteja Rincon, 500 gr",500.00,GR,332,25,25,"55000,00",2440.00,COP,30,7709062917167,59000
521,RIK-UNT-200-GR-F4EC,"Rikesa Untable, 200 gr","Rikesa Untable, 200 gr",200.00,GR,334,18,18,"58,00",3.22,USD,40,75971939,158000
522,RIK-UNT-300-GR-9B3B,"Rikesa Untable, 300 gr","Rikesa Untable, 300 gr",300.00,GR,335,12,12,"56,00",4.67,USD,41,7590006200595,154000
523,RIK-EXP-330-GR-DEE9,"Rikesa Exprimible, 330 gr","Rikesa Exprimible, 330 gr",330.00,GR,336,18,18,"87,90",4.88,USD,42,75930271,330000
524,LAE-SAL-AJO-EXC-180-ML-E1A8,"Salsa de Ajo La Excelencia, 180 ml","Salsa de Ajo La Excelencia, 180 ml",180.00,ML,341,24,24,"25000,00",01.04,COP,74,762497898323,28000
525,CAR-SAL-MIX-180-ML-5D75,"Salsas Mixtas Cardenas, 180 ml","Salsas Mixtas Cardenas, 180 ml",180.00,ML,342,24,24,"27000,00",01.08,COP,75,788492808327,30000
526,HEI-VIN-ALC-500-ML-C54E,"Vinagre Heinz, 1 lt","Vinagre Heinz, 1 lt",1.00,LT,343,12,12,"23,86",1.99,USD,81,7591112015103,67000
527,LAE-VIN-EXC-500-ML-507B,"Vinagre La Excelencia, 500 ml","Vinagre La Excelencia, 500 ml",500.00,ML,344,12,12,"14000,00",02.08,COP,96,762497898330,16000
528,LAE-VIN-EXC-1-LT-BA72,"Vinagre La Excelencia, 1 lt","Vinagre La Excelencia, 1 lt",1.00,LT,345,12,12,"25000,00",3.75,COP,82,762497898347,30000
529,MIR-MAR-227-GR-58D1,"Margarina Mirasol, 227 gr","Margarina Mirasol, 227 gr",227.00,GR,346,24,24,"25,98",01.08,USD,89,7591058001000,70000
530,MIR-LEC-POL-380-GR-2AB6,"Leche en Polvo Miramonte, 380 gr","Leche en Polvo Miramonte, 380 gr",380.00,GR,348,30,30,"240000,00",8000.00,COP,122,7707228547906,250000
531,RIC-CUB-COS-X-60-UND-1698,"Cubito de Costilla Ricostilla, 1 x 60 ","Cubito de Costilla Ricostilla, 1 x 60 ",60.00,UND,349,24,24,"444000,00",18666.67,COP,124,7702354949556,480000
